id;place;rapport;date;M1;M2;M3;M4;allocation;Hippodrome;nbPartants;idHippodrome;nDistance;nAllocation;idFerrure;idJockey;nbPartants;rPoids;idOeillere;iCote
99150;1;1.3;14-01-2016;1a;Da;4a;1a;50000;Cagnes-sur-Mer;14;Cagnes-sur-Mer;2925;38000;0;6412;15;0;0;2
99151;1;1.5;14-01-2016;2a;10a;9a;0a;37000;Cagnes-sur-Mer;14;Cagnes-sur-Mer;2925;36000;2;736;17;0;0;6
99158;0;0;14-01-2016;2a;1a;2a;0a;22000;Nantes;13;Cagnes-sur-Mer;2925;18000;0;497;15;0;0;5
99160;0;0;14-01-2016;9a;1a;2a;5a;21000;Nantes;13;Vincennes;2700;40000;1;360;15;0;0;13
99161;1;1.7;14-01-2016;0a;9a;Da;2a;21000;Nantes;12;Vincennes;2700;37000;0;6;18;0;0;27
99162;1;1.9;14-01-2016;1a;2m;4m;Da;22000;Nantes;16;Argentan;2875;20000;1;153;17;0;0;1
99163;0;0;14-01-2016;1a;6a;1a;4a;6000;Nantes;16;Graignes;2700;22000;2;260;16;0;0;6
56174;1;2.5;15-01-2016;1a;1a;1Da;Da;46000;Vincennes;13;Vincennes;2100;37000;0;238;14;0;0;1
56181;0;0;15-01-2016;2a;3a;2a;1a;9900;Wolvega;13;Vincennes;2700;120000;2;784;10;0;0;2
99178;1;1.9;15-01-2016;1a;2a;Da;Da;80000;Vincennes;16;Vincennes;2700;65000;2;28;17;0;0;3
99179;1;1.6;15-01-2016;2a;1a;1a;1a;54000;Vincennes;18;Vincennes;2700;48000;0;1019;17;0;0;4
99193;1;1.6;15-01-2016;2a;14a;12a;6a;5000;Wolvega;15;Wolvega;2100;6600;0;19;12;0;0;26
99198;0;0;15-01-2016;5a;Aa;5a;1a;7000;Wolvega;8;Kuurne;1800;1680;0;817;11;0;0;
56185;1;2.5;16-01-2016;1a;1a;5a;Da;42000;Vincennes;18;Vincennes;2850;36000;2;3;16;0;0;16
56186;0;0;16-01-2016;2a;2a;Da;2a;120000;Vincennes;12;Vincennes;2700;120000;2;144;8;0;0;5
99199;1;1.4;16-01-2016;1a;1a;Da;1a;120000;Vincennes;12;Vincennes;2175;120000;0;28;10;0;0;1
99200;1;1.4;16-01-2016;1a;1a;1a;1a;105000;Vincennes;15;Vincennes;2700;105000;0;147;6;0;0;1
99201;0;0;16-01-2016;3a;1a;11a;10a;16000;Vincennes;16;Vincennes;2850;14000;0;55;16;0;0;5
99202;1;1.6;16-01-2016;3a;6a;0a;Da;45000;Vincennes;15;Vincennes;2700;39000;1;2;18;0;0;12
99203;0;0;16-01-2016;1a;5Da;1a;1a;46000;Vincennes;15;Vincennes;2700;36000;0;156;15;0;0;6
56199;1;1.2;17-01-2016;1a;1a;1a;1a;120000;Vincennes;16;Vincennes;2100;240000;1;6;14;0;0;1
56200;1;1.9;17-01-2016;8a;10a;4a;3a;16000;Lyon;14;Vincennes;2175;34000;0;3620;15;0;0;49
56201;1;3.4;17-01-2016;10m;5m;11a;4a;18000;Lyon;18;Lyon-Parilly;2850;40000;1;721;14;0;0;60
99222;1;1.5;17-01-2016;Da;2a;1a;1a;78000;Vincennes;11;Vincennes;2700;70000;1;2;12;0;0;2
99224;1;1.3;17-01-2016;2a;1a;1a;1a;78000;Vincennes;18;Vincennes;2700;58000;0;156;18;0;0;2
99225;1;1.3;17-01-2016;1a;1a;1a;1a;120000;Vincennes;10;Vincennes;2850;44000;0;52;9;0;0;3
99226;0;0;17-01-2016;1a;10a;8a;4a;75000;Vincennes;15;Vincennes;2700;66000;2;8;16;0;0;20
99228;1;1.3;17-01-2016;3a;4a;1a;3a;45000;Vincennes;13;Vincennes;2700;40000;0;4117;15;0;0;4
99229;1;1.9;17-01-2016;3a;2a;8a;2a;16000;Lyon-La Soie;15;Marseille-Borély;2400;13000;0;970;16;0;0;3
